RomName,sha1,region,version,slowRom,fastRom,ExLoROM,HiROM,SuperFx1,SuperFx2,SA1,DSP1,DSP1A,DSP1B,DSP2,DSP3,DSP4,CX4,OBC1,SDD1,SRTC,SPC7110,ST010,ST011,ST018
Mega Man X2 ,,,,,,,,,,,,,,,,,1,,,,,,,
Mega Man X3 ,,,,,,,,,,,,,,,,,1,,,,,,,
Soukou Kihei Votoms: The Battling Road ,,,,,,,,,,,1,,,,,,,,,,,,,
Bike Daisuki! Hashiriya Kon - Rider's Spirits ,,,,,,,,,,,1,,,,,,,,,,,,,
Final Stretch ,,,,,,,,,,,1,,,,,,,,,,,,,
Lock On ,,,,,,,,,,,1,,,,,,,,,,,,,
Michael Andretti's Indy Car Challenge ,,,,,,,,,,,,1,,,,,,,,,,,,
Pilotwings ,,,,,,,,,,,,,1,,,,,,,,,,,
Shutok? Battle '94: Keichii Tsuchiya Drift King,,,,,,,,,,,,,1,,,,,,,,,,,
Shutok? Battle 2: Drift King Keichii Tsuchiya &amp; Masaaki Bandoh ,,,,,,,,,,,,,1,,,,,,,,,,,
Suzuka 8 Hours ,,,,,,,,,,,1,,,,,,,,,,,,,
Super Air Diver 2 ,,,,,,,,,,,1,,,,,,,,,,,,,
Super Bases Loaded 2 ,,,,,,,,,,,1,,,,,,,,,,,,,
Super F1 Circus Gaiden ,,,,,,,,,,,1,,,,,,,,,,,,,
Battle Racers ,,,,,,,,,,,1,,,,,,,,,,,,,
Super Mario Kart ,,,,,,,,,,,,,1,,,,,,,,,,,
Ace o Nerae! 3D Tennis ,,,,,,,,,,,,1,,,,,,,,,,,,
Ballz 3D ,,,,,,,,,,,,,1,,,,,,,,,,,
Dungeon Master ,,,,,,,,,,,,,,1,,,,,,,,,,
SD Gundam GX ,,,,,,,,,,,,,,,1,,,,,,,,,
Top Gear 3000 ,,,,,,,,,,,,,,,,1,,,,,,,,
Asahi Shinbun Rensai: Katou Ichi-Ni-San Shougi: Shingiryuu ,,,,,,,,,,1,,,,,,,,,,,,,,
Daisenryaku Expert WWII: War in Europe ,,,,,,,,,,1,,,,,,,,,,,,,,
Derby Jockey 2 ,,,,,,,,,,1,,,,,,,,,,,,,,
Dragon Ball Z: Hyper Dimension ,,,,,,,,,,1,,,,,,,,,,,,,,
Habu Meijin no Omoshiro Sh?gi ,,,,,,,,,,1,,,,,,,,,,,,,,
Hayashi Kaihou Kudan no Igo Oodou ,,,,,,,,,,1,,,,,,,,,,,,,,
Itoi Shigesato no Bass Tsuri No. 1 ,,,,,,,,,,1,,,,,,,,,,,,,,
J.League '96 Dream Stadium ,,,,,,,,,,1,,,,,,,,,,,,,,
Jikkyou Oshaberi Parodius ,,,,,,,,,,1,,,,,,,,,,,,,,
Jumpin' Derby ,,,,,,,,,,1,,,,,,,,,,,,,,
Kakinoki Shogi ,,,,,,,,,,1,,,,,,,,,,,,,,
Kirby Super Star ,,,,,,,,,,1,,,,,,,,,,,,,,
Kirby's Dream Land 3 ,,,,,,,,,,1,,,,,,,,,,,,,,
Marvelous: Mouhitotsu no Takarajima ,,,,,,,,,,1,,,,,,,,,,,,,,
Masters New: Haruka Naru Augusta 3 ,,,,,,,,,,1,,,,,,,,,,,,,,
Mini 4WD Shining Scorpion Let's & Go!! ,,,,,,,,,,1,,,,,,,,,,,,,,
Pebble Beach no Hotou: New Tournament Edition ,,,,,,,,,,1,,,,,,,,,,,,,,
Pachi-Slot Monogatari - PAL Kougyou Special ,,,,,,,,,,1,,,,,,,,,,,,,,
PGA European Tour ,,,,,,,,,,1,,,,,,,,,,,,,,
PGA Tour 96 ,,,,,,,,,,1,,,,,,,,,,,,,,
Power Rangers Zeo: Battle Racers ,,,,,,,,,,1,,,,,,,,,,,,,,
Pro Kishi Jinsei Simulation: Sh?gi no Hanamichi ,,,,,,,,,,1,,,,,,,,,,,,,,
Saikousoku Shikou Shougi Mahjong ,,,,,,,,,,1,,,,,,,,,,,,,,
SD F-1 Grand Prix ,,,,,,,,,,1,,,,,,,,,,,,,,
SD Gundam G NEXT ,,,,,,,,,,1,,,,,,,,,,,,,,
Shin Shogi Club ,,,,,,,,,,1,,,,,,,,,,,,,,
Shogi Saikyou ,,,,,,,,,,1,,,,,,,,,,,,,,
Shogi Saikyou 2 ,,,,,,,,,,1,,,,,,,,,,,,,,
Super Bomberman Panic Bomber World ,,,,,,,,,,1,,,,,,,,,,,,,,
Super Mario RPG: Legend of the Seven Stars ,,,,,,,,,,1,,,,,,,,,,,,,,
Super Robot Taisen Gaiden: Mas? Kishin - The Lord Of Elemental ,,,,,,,,,,1,,,,,,,,,,,,,,
Super Shougi 3: Kitaihei ,,,,,,,,,,1,,,,,,,,,,,,,,
Taikyoku Igo: Idaten ,,,,,,,,,,1,,,,,,,,,,,,,,
Takemiya Masaki Kudan no Igo Taishou ,,,,,,,,,,1,,,,,,,,,,,,,,
Star Ocean ,,,,,,,,,,,,,,,,,,,1,,,,,
Street Fighter Alpha 2 ,,,,,,,,,,,,,,,,,,,1,,,,,
Daikaijuu Monogatari II ,,,,,,,,,,,,,,,,,,,,1,,,,
Far East of Eden Zero (Tengai Makyou Zero) ,,,,,,,,,,,,,,,,,,,,,1,,,
Momotaro Dentetsu Happy ,,,,,,,,,,,,,,,,,,,,,1,,,
Super Power League 4 ,,,,,,,,,,,,,,,,,,,,,1,,,
F1 ROC II: Race of Champions ,,,,,,,,,,,,,,,,,,,,,,1,,
Hayazashi Nidan Morita Shogi ,,,,,,,,,,,,,,,,,,,,,,,1,
Hayazashi Nidan Morita Shogi 2 ,,,,,,,,,,,,,,,,,,,,,,,,1
Star Fox ,,,,,,,,1,,,,,,,,,,,,,,,,
Stunt Race FX ,,,,,,,,1,,,,,,,,,,,,,,,,
Vortex ,,,,,,,,1,,,,,,,,,,,,,,,,
Dirt Racer ,,,,,,,,1,,,,,,,,,,,,,,,,
Dirt Trax FX ,,,,,,,,1,,,,,,,,,,,,,,,,
Super Mario World 2: Yoshi's Island ,,,,,,,,,1,,,,,,,,,,,,,,,
Doom ,,,,,,,,,1,,,,,,,,,,,,,,,
Winter Gold ,,,,,,,,,1,,,,,,,,,,,,,,,
Star Fox 2,,,,,,,,,1,,,,,,,,,,,,,,,
FX Fighter ,,,,,,,,,1,,,,,,,,,,,,,,,
Comanche ,,,,,,,,,1,,,,,,,,,,,,,,,
Powerslide ,,,,,,,,1,,,,,,,,,,,,,,,,
